anno	geneIDs	geneNames
178	ACHE|43	43	ACHE
179	ACIN1|22985	22985	ACIN1
180	ACLY|47	47	ACLY
181	ACMSD|130013	130013	ACMSD
182	ACN9|57001	57001	ACN9
183	ACO1|48	48	ACO1
184	ACO2|50	50	ACO2
185	ACOT11|26027	26027	ACOT11
186	ACOT12|134526	134526	ACOT12
187	ACOT13|55856	55856	ACOT13
188	ACOT1|641371	641371	ACOT1
189	ACOT2|10965	10965	ACOT2
190	ACOT4|122970	122970	ACOT4
191	ACOT6|641372	641372	ACOT6
192	ACOT7|11332	11332	ACOT7
193	ACOT8|10005	10005	ACOT8
194	ACOT9|23597	23597	ACOT9
195	ACOX1|51	51	ACOX1
196	ACOX2|8309	8309	ACOX2
197	ACOX3|8310	8310	ACOX3
198	ACOXL|55289	55289	ACOXL
199	ACP1|52	52	ACP1
200	ACP2|53	53	ACP2
201	ACP5|54	54	ACP5
202	ACP6|51205	51205	ACP6
203	ACPL2|92370	92370	ACPL2
204	ACPP|55	55	ACPP
205	ACPT|93650	93650	ACPT
206	ACRBP|84519	84519	ACRBP
207	ACRC|93953	93953	ACRC
208	ACRV1|56	56	ACRV1
209	ACR|49	49	ACR
210	ACSBG1|23205	23205	ACSBG1
211	ACSBG2|81616	81616	ACSBG2
212	ACSF2|80221	80221	ACSF2
213	ACSF3|197322	197322	ACSF3
214	ACSL1|2180	2180	ACSL1
215	ACSL3|2181	2181	ACSL3
216	ACSL4|2182	2182	ACSL4
217	ACSL5|51703	51703	ACSL5
218	ACSL6|23305	23305	ACSL6
219	ACSM1|116285	116285	ACSM1
220	ACSM2A|123876	123876	ACSM2A
221	ACSM2B|348158	348158	ACSM2B
222	ACSM3|6296	6296	ACSM3
223	ACSM4|341392	341392	ACSM4
224	ACSM5|54988	54988	ACSM5
225	ACSS1|84532	84532	ACSS1
226	ACSS2|55902	55902	ACSS2
227	ACSS3|79611	79611	ACSS3
228	ACTA1|58	58	ACTA1
229	ACTA2|59	59	ACTA2
230	ACTBL2|345651	345651	ACTBL2
231	ACTB|60	60	ACTB
232	ACTC1|70	70	ACTC1
233	ACTG1|71	71	ACTG1
234	ACTG2|72	72	ACTG2
235	ACTL6A|86	86	ACTL6A
236	ACTL6B|51412	51412	ACTL6B
237	ACTL7A|10881	10881	ACTL7A
238	ACTL7B|10880	10880	ACTL7B
