anno	geneIDs	geneNames
5385	EEF1D|1936	1936	EEF1D
5386	EEF1E1|9521	9521	EEF1E1
5387	EEF1G|1937	1937	EEF1G
5388	EEF2K|29904	29904	EEF2K
5389	EEF2|1938	1938	EEF2
5390	EEFSEC|60678	60678	EEFSEC
5391	EEPD1|80820	80820	EEPD1
5392	EFCAB10|100130771	100130771	EFCAB10
5393	EFCAB1|79645	79645	EFCAB1
5394	EFCAB2|84288	84288	EFCAB2
5395	EFCAB3|146779	146779	EFCAB3
5396	EFCAB4A|283229	283229	EFCAB4A
5397	EFCAB4B|84766	84766	EFCAB4B
5398	EFCAB5|374786	374786	EFCAB5
5399	EFCAB6|64800	64800	EFCAB6
5400	EFCAB7|84455	84455	EFCAB7
5401	EFEMP1|2202	2202	EFEMP1
5402	EFEMP2|30008	30008	EFEMP2
5403	EFHA1|221154	221154	EFHA1
5404	EFHA2|286097	286097	EFHA2
5405	EFHB|151651	151651	EFHB
5406	EFHC1|114327	114327	EFHC1
5407	EFHC2|80258	80258	EFHC2
5408	EFHD1|80303	80303	EFHD1
5409	EFHD2|79180	79180	EFHD2
5410	EFNA1|1942	1942	EFNA1
5411	EFNA2|1943	1943	EFNA2
5412	EFNA3|1944	1944	EFNA3
5413	EFNA4|1945	1945	EFNA4
5414	EFNA5|1946	1946	EFNA5
5415	EFNB1|1947	1947	EFNB1
5416	EFNB2|1948	1948	EFNB2
5417	EFNB3|1949	1949	EFNB3
5418	EFR3A|23167	23167	EFR3A
5419	EFR3B|22979	22979	EFR3B
5420	EFS|10278	10278	EFS
5421	EFTUD1|79631	79631	EFTUD1
5422	EFTUD2|9343	9343	EFTUD2
5423	EGFL6|25975	25975	EGFL6
5424	EGFL7|51162	51162	EGFL7
5425	EGFL8|80864	80864	EGFL8
5426	EGFLAM|133584	133584	EGFLAM
5427	EGFR|1956	1956	EGFR
5428	EGF|1950	1950	EGF
5429	EGLN1|54583	54583	EGLN1
5430	EGLN2|112398	112398	EGLN2
5431	EGLN3|112399	112399	EGLN3
5432	EGOT|100126791	100126791	EGOT
5433	EGR1|1958	1958	EGR1
5434	EGR2|1959	1959	EGR2
5435	EGR3|1960	1960	EGR3
5436	EGR4|1961	1961	EGR4
5437	EHBP1L1|254102	254102	EHBP1L1
5438	EHBP1|23301	23301	EHBP1
5439	EHD1|10938	10938	EHD1
5440	EHD2|30846	30846	EHD2
5441	EHD3|30845	30845	EHD3
5442	EHD4|30844	30844	EHD4
5443	EHF|26298	26298	EHF
5444	EHHADH|1962	1962	EHHADH
5445	EHMT1|79813	79813	EHMT1
5446	EHMT2|10919	10919	EHMT2
5447	EI24|9538	9538	EI24
5448	EID1|23741	23741	EID1
5449	EID2B|126272	126272	EID2B
5450	EID2|163126	163126	EID2
5451	EID3|493861	493861	EID3
5452	EIF1AD|84285	84285	EIF1AD
5453	EIF1AX|1964	1964	EIF1AX
5454	EIF1AY|9086	9086	EIF1AY
5455	EIF1B|10289	10289	EIF1B
5456	EIF1|10209	10209	EIF1
5457	EIF2AK1|27102	27102	EIF2AK1
5458	EIF2AK2|5610	5610	EIF2AK2
5459	EIF2AK3|9451	9451	EIF2AK3
5460	EIF2AK4|440275	440275	EIF2AK4
5461	EIF2A|83939	83939	EIF2A
5462	EIF2B1|1967	1967	EIF2B1
5463	EIF2B2|8892	8892	EIF2B2
5464	EIF2B3|8891	8891	EIF2B3
5465	EIF2B4|8890	8890	EIF2B4
5466	EIF2B5|8893	8893	EIF2B5
5467	EIF2C1|26523	26523	EIF2C1
5468	EIF2C2|27161	27161	EIF2C2
5469	EIF2C3|192669	192669	EIF2C3
5470	EIF2C4|192670	192670	EIF2C4
5471	EIF2S1|1965	1965	EIF2S1
5472	EIF2S2|8894	8894	EIF2S2
5473	EIF2S3|1968	1968	EIF2S3
5474	EIF3A|8661	8661	EIF3A
5475	EIF3B|8662	8662	EIF3B
5476	EIF3CL|728689	728689	EIF3CL
5477	EIF3C|8663	8663	EIF3C
5478	EIF3D|8664	8664	EIF3D
5479	EIF3E|3646	3646	EIF3E
5480	EIF3F|8665	8665	EIF3F
5481	EIF3G|8666	8666	EIF3G
5482	EIF3H|8667	8667	EIF3H
5483	EIF3IP1|442720	442720	EIF3IP1
5484	EIF3I|8668	8668	EIF3I
5485	EIF3J|8669	8669	EIF3J
5486	EIF3K|27335	27335	EIF3K
5487	EIF3L|51386	51386	EIF3L
5488	EIF3M|10480	10480	EIF3M
5489	EIF4A1|1973	1973	EIF4A1
5490	EIF4A2|1974	1974	EIF4A2
5491	EIF4A3|9775	9775	EIF4A3
5492	EIF4B|1975	1975	EIF4B
5493	EIF4E1B|253314	253314	EIF4E1B
5494	EIF4E2|9470	9470	EIF4E2
5495	EIF4E3|317649	317649	EIF4E3
5496	EIF4EBP1|1978	1978	EIF4EBP1
5497	EIF4EBP2|1979	1979	EIF4EBP2
5498	EIF4EBP3|8637	8637	EIF4EBP3
5499	EIF4ENIF1|56478	56478	EIF4ENIF1
5500	EIF4E|1977	1977	EIF4E
5501	EIF4G1|1981	1981	EIF4G1
5502	EIF4G2|1982	1982	EIF4G2
5503	EIF4G3|8672	8672	EIF4G3
5504	EIF4H|7458	7458	EIF4H
5505	EIF5A2|56648	56648	EIF5A2
5506	EIF5AL1|143244	143244	EIF5AL1
5507	EIF5A|1984	1984	EIF5A
5508	EIF5B|9669	9669	EIF5B
5509	EIF5|1983	1983	EIF5
5510	EIF6|3692	3692	EIF6
5511	ELAC1|55520	55520	ELAC1
5512	ELAC2|60528	60528	ELAC2
5513	ELANE|1991	1991	ELANE
5514	ELAVL1|1994	1994	ELAVL1
5515	ELAVL2|1993	1993	ELAVL2
5516	ELAVL3|1995	1995	ELAVL3
5517	ELAVL4|1996	1996	ELAVL4
5518	ELF1|1997	1997	ELF1
5519	ELF2|1998	1998	ELF2
5520	ELF3|1999	1999	ELF3
5521	ELF4|2000	2000	ELF4
5522	ELF5|2001	2001	ELF5
5523	ELFN1|392617	392617	ELFN1
5524	ELFN2|114794	114794	ELFN2
5525	ELK1|2002	2002	ELK1
5526	ELK3|2004	2004	ELK3
5527	ELK4|2005	2005	ELK4
5528	ELL2|22936	22936	ELL2
5529	ELL3|80237	80237	ELL3
5530	ELL|8178	8178	ELL
5531	ELMO1|9844	9844	ELMO1
5532	ELMO2|63916	63916	ELMO2
5533	ELMO3|79767	79767	ELMO3
5534	ELMOD1|55531	55531	ELMOD1
5535	ELMOD2|255520	255520	ELMOD2
5536	ELMOD3|84173	84173	ELMOD3
5537	ELN|2006	2006	ELN
5538	ELOF1|84337	84337	ELOF1
5539	ELOVL1|64834	64834	ELOVL1
5540	ELOVL2|54898	54898	ELOVL2
5541	ELOVL3|83401	83401	ELOVL3
5542	ELOVL4|6785	6785	ELOVL4
5543	ELOVL5|60481	60481	ELOVL5
5544	ELOVL6|79071	79071	ELOVL6
5545	ELOVL7|79993	79993	ELOVL7
5546	ELP2P|100131454	100131454	ELP2P
5547	ELP2|55250	55250	ELP2
5548	ELP3|55140	55140	ELP3
5549	ELP4|26610	26610	ELP4
5550	ELSPBP1|64100	64100	ELSPBP1
5551	ELTD1|64123	64123	ELTD1
5552	EMB|133418	133418	EMB
5553	EMCN|51705	51705	EMCN
5554	EMD|2010	2010	EMD
5555	EME1|146956	146956	EME1
5556	EME2|197342	197342	EME2
5557	EMG1|10436	10436	EMG1
5558	EMID1|129080	129080	EMID1
5559	EMID2|136227	136227	EMID2
5560	EMILIN1|11117	11117	EMILIN1
5561	EMILIN2|84034	84034	EMILIN2
5562	EMILIN3|90187	90187	EMILIN3
5563	EML1|2009	2009	EML1
5564	EML2|24139	24139	EML2
5565	EML3|256364	256364	EML3
5566	EML4|27436	27436	EML4
5567	EML5|161436	161436	EML5
5568	EML6|400954	400954	EML6
5569	EMP1|2012	2012	EMP1
5570	EMP2|2013	2013	EMP2
5571	EMP3|2014	2014	EMP3
5572	EMR1|2015	2015	EMR1
5573	EMR2|30817	30817	EMR2
5574	EMR3|84658	84658	EMR3
5575	EMR4P|326342	326342	EMR4P
5576	EMX1|2016	2016	EMX1
5577	EMX2OS|196047	196047	EMX2OS
5578	EMX2|2018	2018	EMX2
5579	EN1|2019	2019	EN1
5580	EN2|2020	2020	EN2
5581	ENAH|55740	55740	ENAH
5582	ENAM|10117	10117	ENAM
5583	ENC1|8507	8507	ENC1
5584	ENDOD1|23052	23052	ENDOD1
5585	ENDOG|2021	2021	ENDOG
5586	ENDOU|8909	8909	ENDOU
5587	ENGASE|64772	64772	ENGASE
5588	ENG|2022	2022	ENG
5589	ENHO|375704	375704	ENHO
5590	ENKUR|219670	219670	ENKUR
5591	ENO1|2023	2023	ENO1
5592	ENO2|2026	2026	ENO2
5593	ENO3|2027	2027	ENO3
5594	ENOPH1|58478	58478	ENOPH1
5595	ENOSF1|55556	55556	ENOSF1
5596	ENOX1|55068	55068	ENOX1
5597	ENOX2|10495	10495	ENOX2
5598	ENPEP|2028	2028	ENPEP
5599	ENPP1|5167	5167	ENPP1
5600	ENPP2|5168	5168	ENPP2
5601	ENPP3|5169	5169	ENPP3
5602	ENPP4|22875	22875	ENPP4
5603	ENPP5|59084	59084	ENPP5
5604	ENPP6|133121	133121	ENPP6
5605	ENPP7|339221	339221	ENPP7
5606	ENSA|2029	2029	ENSA
5607	ENTHD1|150350	150350	ENTHD1
5608	ENTPD1|953	953	ENTPD1
5609	ENTPD2|954	954	ENTPD2
5610	ENTPD3|956	956	ENTPD3
5611	ENTPD4|9583	9583	ENTPD4
5612	ENTPD5|957	957	ENTPD5
5613	ENTPD6|955	955	ENTPD6
5614	ENTPD7|57089	57089	ENTPD7
5615	ENTPD8|377841	377841	ENTPD8
5616	ENY2|56943	56943	ENY2
5617	EOMES|8320	8320	EOMES
5618	EP300|2033	2033	EP300
5619	EP400NL|347918	347918	EP400NL
5620	EP400|57634	57634	EP400
5621	EPAS1|2034	2034	EPAS1
5622	EPB41L1|2036	2036	EPB41L1
5623	EPB41L2|2037	2037	EPB41L2
5624	EPB41L3|23136	23136	EPB41L3
5625	EPB41L4A|64097	64097	EPB41L4A
5626	EPB41L4B|54566	54566	EPB41L4B
5627	EPB41L5|57669	57669	EPB41L5
5628	EPB41|2035	2035	EPB41
5629	EPB42|2038	2038	EPB42
5630	EPB49|2039	2039	EPB49
5631	EPC1|80314	80314	EPC1
5632	EPC2|26122	26122	EPC2
5633	EPCAM|4072	4072	EPCAM
5634	EPDR1|54749	54749	EPDR1
5635	EPGN|255324	255324	EPGN
5636	EPHA10|284656	284656	EPHA10
5637	EPHA1|2041	2041	EPHA1
5638	EPHA2|1969	1969	EPHA2
5639	EPHA3|2042	2042	EPHA3
5640	EPHA4|2043	2043	EPHA4
5641	EPHA5|2044	2044	EPHA5
5642	EPHA6|285220	285220	EPHA6
5643	EPHA7|2045	2045	EPHA7
5644	EPHA8|2046	2046	EPHA8
5645	EPHB1|2047	2047	EPHB1
5646	EPHB2|2048	2048	EPHB2
5647	EPHB3|2049	2049	EPHB3
5648	EPHB4|2050	2050	EPHB4
5649	EPHB6|2051	2051	EPHB6
5650	EPHX1|2052	2052	EPHX1
5651	EPHX2|2053	2053	EPHX2
5652	EPHX3|79852	79852	EPHX3
5653	EPHX4|253152	253152	EPHX4
5654	EPM2AIP1|9852	9852	EPM2AIP1
5655	EPM2A|7957	7957	EPM2A
5656	EPN1|29924	29924	EPN1
5657	EPN2|22905	22905	EPN2
5658	EPN3|55040	55040	EPN3
5659	EPOR|2057	2057	EPOR
5660	EPO|2056	2056	EPO
5661	EPPK1|83481	83481	EPPK1
5662	EPR1|8475	8475	EPR1
5663	EPRS|2058	2058	EPRS
5664	EPS15L1|58513	58513	EPS15L1
5665	EPS15|2060	2060	EPS15
5666	EPS8L1|54869	54869	EPS8L1
5667	EPS8L2|64787	64787	EPS8L2
5668	EPS8L3|79574	79574	EPS8L3
5669	EPS8|2059	2059	EPS8
5670	EPSTI1|94240	94240	EPSTI1
5671	EPT1|85465	85465	EPT1
5672	EPX|8288	8288	EPX
5673	EPYC|1833	1833	EPYC
5674	ERAL1|26284	26284	ERAL1
5675	ERAP1|51752	51752	ERAP1
5676	ERAP2|64167	64167	ERAP2
5677	ERAS|3266	3266	ERAS
5678	ERBB2IP|55914	55914	ERBB2IP
5679	ERBB2|2064	2064	ERBB2
5680	ERBB3|2065	2065	ERBB3
5681	ERBB4|2066	2066	ERBB4
5682	ERC1|23085	23085	ERC1
5683	ERC2|26059	26059	ERC2
5684	ERCC1|2067	2067	ERCC1
5685	ERCC2|2068	2068	ERCC2
5686	ERCC3|2071	2071	ERCC3
5687	ERCC4|2072	2072	ERCC4
5688	ERCC5|2073	2073	ERCC5
5689	ERCC6L|54821	54821	ERCC6L
5690	ERCC6|2074	2074	ERCC6
5691	ERCC8|1161	1161	ERCC8
5692	EREG|2069	2069	EREG
5693	ERF|2077	2077	ERF
5694	ERGIC1|57222	57222	ERGIC1
5695	ERGIC2|51290	51290	ERGIC2
5696	ERGIC3|51614	51614	ERGIC3
5697	ERG|2078	2078	ERG
5698	ERH|2079	2079	ERH
5699	ERI1|90459	90459	ERI1
5700	ERI2|112479	112479	ERI2
5701	ERI3|79033	79033	ERI3
5702	ERICH1|157697	157697	ERICH1
5703	ERLEC1|27248	27248	ERLEC1
5704	ERLIN1|10613	10613	ERLIN1
5705	ERLIN2|11160	11160	ERLIN2
5706	ERMAP|114625	114625	ERMAP
5707	ERMN|57471	57471	ERMN
5708	ERMP1|79956	79956	ERMP1
5709	ERN1|2081	2081	ERN1
5710	ERN2|10595	10595	ERN2
5711	ERO1LB|56605	56605	ERO1LB
5712	ERO1L|30001	30001	ERO1L
5713	ERP27|121506	121506	ERP27
5714	ERP29|10961	10961	ERP29
5715	ERP44|23071	23071	ERP44
5716	ERRFI1|54206	54206	ERRFI1
5717	ERVFRDE1|405754	405754	ERVFRDE1
5718	ESAM|90952	90952	ESAM
5719	ESCO1|114799	114799	ESCO1
5720	ESCO2|157570	157570	ESCO2
5721	ESD|2098	2098	ESD
5722	ESF1|51575	51575	ESF1
5723	ESM1|11082	11082	ESM1
5724	ESPL1|9700	9700	ESPL1
5725	ESPNL|339768	339768	ESPNL
5726	ESPNP|284729	284729	ESPNP
5727	ESPN|83715	83715	ESPN
5728	ESR1|2099	2099	ESR1
5729	ESR2|2100	2100	ESR2
5730	ESRP1|54845	54845	ESRP1
5731	ESRP2|80004	80004	ESRP2
5732	ESRRA|2101	2101	ESRRA
5733	ESRRB|2103	2103	ESRRB
5734	ESRRG|2104	2104	ESRRG
5735	ESX1|80712	80712	ESX1
5736	ESYT1|23344	23344	ESYT1
5737	ESYT2|57488	57488	ESYT2
5738	ESYT3|83850	83850	ESYT3
5739	ETAA1|54465	54465	ETAA1
5740	ETF1|2107	2107	ETF1
5741	ETFA|2108	2108	ETFA
5742	ETFB|2109	2109	ETFB
5743	ETFDH|2110	2110	ETFDH
5744	ETHE1|23474	23474	ETHE1
5745	ETNK1|55500	55500	ETNK1
5746	ETNK2|55224	55224	ETNK2
5747	ETS1|2113	2113	ETS1
5748	ETS2|2114	2114	ETS2
5749	ETV1|2115	2115	ETV1
5750	ETV2|2116	2116	ETV2
5751	ETV3L|440695	440695	ETV3L
5752	ETV3|2117	2117	ETV3
5753	ETV4|2118	2118	ETV4
5754	ETV5|2119	2119	ETV5
5755	ETV6|2120	2120	ETV6
5756	ETV7|51513	51513	ETV7
5757	EVC2|132884	132884	EVC2
5758	EVC|2121	2121	EVC
5759	EVI2A|2123	2123	EVI2A
5760	EVI2B|2124	2124	EVI2B
5761	EVI5L|115704	115704	EVI5L
5762	EVI5|7813	7813	EVI5
5763	EVL|51466	51466	EVL
5764	EVPLL|645027	645027	EVPLL
5765	EVPL|2125	2125	EVPL
5766	EVX1|2128	2128	EVX1
5767	EVX2|344191	344191	EVX2
5768	EWSR1|2130	2130	EWSR1
5769	EXD1|161829	161829	EXD1
5770	EXD2|55218	55218	EXD2
5771	EXD3|54932	54932	EXD3
5772	EXO1|9156	9156	EXO1
5773	EXOC1|55763	55763	EXOC1
5774	EXOC2|55770	55770	EXOC2
5775	EXOC3L2|90332	90332	EXOC3L2
5776	EXOC3L|283849	283849	EXOC3L
5777	EXOC3|11336	11336	EXOC3
5778	EXOC4|60412	60412	EXOC4
5779	EXOC5|10640	10640	EXOC5
5780	EXOC6B|23233	23233	EXOC6B
5781	EXOC6|54536	54536	EXOC6
5782	EXOC7|23265	23265	EXOC7
5783	EXOC8|149371	149371	EXOC8
5784	EXOG|9941	9941	EXOG
5785	EXOSC10|5394	5394	EXOSC10
5786	EXOSC1|51013	51013	EXOSC1
5787	EXOSC2|23404	23404	EXOSC2
5788	EXOSC3|51010	51010	EXOSC3
5789	EXOSC4|54512	54512	EXOSC4
5790	EXOSC5|56915	56915	EXOSC5
5791	EXOSC6|118460	118460	EXOSC6
5792	EXOSC7|23016	23016	EXOSC7
5793	EXOSC8|11340	11340	EXOSC8
5794	EXOSC9|5393	5393	EXOSC9
5795	EXPH5|23086	23086	EXPH5
5796	EXT1|2131	2131	EXT1
5797	EXT2|2132	2132	EXT2
5798	EXTL1|2134	2134	EXTL1
5799	EXTL2|2135	2135	EXTL2
5800	EXTL3|2137	2137	EXTL3
5801	EYA1|2138	2138	EYA1
5802	EYA2|2139	2139	EYA2
5803	EYA3|2140	2140	EYA3
5804	EYA4|2070	2070	EYA4
5805	EYS|346007	346007	EYS
5806	EZH1|2145	2145	EZH1
5807	EZH2|2146	2146	EZH2
5808	EZR|7430	7430	EZR
5809	F10|2159	2159	F10
5810	F11R|50848	50848	F11R
5811	F11|2160	2160	F11
5812	F12|2161	2161	F12
5813	F13A1|2162	2162	F13A1
5814	F13B|2165	2165	F13B
5815	F2RL1|2150	2150	F2RL1
5816	F2RL2|2151	2151	F2RL2
5817	F2RL3|9002	9002	F2RL3
5818	F2R|2149	2149	F2R
5819	F2|2147	2147	F2
5820	F3|2152	2152	F3
5821	F5|2153	2153	F5
5822	F7|2155	2155	F7
5823	F8A1|8263	8263	F8A1
5824	F8|2157	2157	F8
5825	F9|2158	2158	F9
5826	FA2H|79152	79152	FA2H
5827	FAAH2|158584	158584	FAAH2
5828	FAAH|2166	2166	FAAH
5829	FABP12|646486	646486	FABP12
5830	FABP1|2168	2168	FABP1
5831	FABP2|2169	2169	FABP2
5832	FABP3|2170	2170	FABP3
5833	FABP4|2167	2167	FABP4
5834	FABP5L3|220832	220832	FABP5L3
5835	FABP5|2171	2171	FABP5
5836	FABP6|2172	2172	FABP6
5837	FABP7|2173	2173	FABP7
5838	FABP9|646480	646480	FABP9
5839	FADD|8772	8772	FADD
5840	FADS1|3992	3992	FADS1
5841	FADS2|9415	9415	FADS2
5842	FADS3|3995	3995	FADS3
5843	FADS6|283985	283985	FADS6
5844	FAF1|11124	11124	FAF1
5845	FAF2|23197	23197	FAF2
5846	FAHD1|81889	81889	FAHD1
5847	FAHD2A|51011	51011	FAHD2A
5848	FAHD2B|151313	151313	FAHD2B
5849	FAH|2184	2184	FAH
5850	FAIM2|23017	23017	FAIM2
5851	FAIM3|9214	9214	FAIM3
5852	FAIM|55179	55179	FAIM
5853	FAM100A|124402	124402	FAM100A
5854	FAM100B|283991	283991	FAM100B
5855	FAM101A|144347	144347	FAM101A
5856	FAM101B|359845	359845	FAM101B
5857	FAM102A|399665	399665	FAM102A
5858	FAM102B|284611	284611	FAM102B
5859	FAM103A1|83640	83640	FAM103A1
5860	FAM104A|84923	84923	FAM104A
5861	FAM104B|90736	90736	FAM104B
5862	FAM105A|54491	54491	FAM105A
5863	FAM105B|90268	90268	FAM105B
5864	FAM106A|80039	80039	FAM106A
5865	FAM106C|100129396	100129396	FAM106C
5866	FAM107A|11170	11170	FAM107A
5867	FAM107B|83641	83641	FAM107B
5868	FAM108A1|81926	81926	FAM108A1
5869	FAM108B1|51104	51104	FAM108B1
5870	FAM108C1|58489	58489	FAM108C1
5871	FAM109A|144717	144717	FAM109A
5872	FAM109B|150368	150368	FAM109B
5873	FAM10A4|145165	145165	FAM10A4
5874	FAM110A|83541	83541	FAM110A
5875	FAM110B|90362	90362	FAM110B
5876	FAM110C|642273	642273	FAM110C
5877	FAM111A|63901	63901	FAM111A
5878	FAM111B|374393	374393	FAM111B
5879	FAM113A|64773	64773	FAM113A
5880	FAM113B|91523	91523	FAM113B
5881	FAM114A1|92689	92689	FAM114A1
5882	FAM114A2|10827	10827	FAM114A2
5883	FAM115A|9747	9747	FAM115A
5884	FAM115C|285966	285966	FAM115C
5885	FAM116A|201627	201627	FAM116A
5886	FAM116B|414918	414918	FAM116B
5887	FAM117A|81558	81558	FAM117A
5888	FAM117B|150864	150864	FAM117B
5889	FAM118A|55007	55007	FAM118A
5890	FAM118B|79607	79607	FAM118B
5891	FAM119A|151194	151194	FAM119A
5892	FAM119B|25895	25895	FAM119B
5893	FAM120AOS|158293	158293	FAM120AOS
5894	FAM120A|23196	23196	FAM120A
5895	FAM120B|84498	84498	FAM120B
5896	FAM120C|54954	54954	FAM120C
5897	FAM122A|116224	116224	FAM122A
5898	FAM122B|159090	159090	FAM122B
5899	FAM122C|159091	159091	FAM122C
5900	FAM123A|219287	219287	FAM123A
5901	FAM123B|139285	139285	FAM123B
5902	FAM123C|205147	205147	FAM123C
5903	FAM124A|220108	220108	FAM124A
5904	FAM124B|79843	79843	FAM124B
5905	FAM125A|93343	93343	FAM125A
5906	FAM125B|89853	89853	FAM125B
5907	FAM126A|84668	84668	FAM126A
5908	FAM126B|285172	285172	FAM126B
5909	FAM127A|8933	8933	FAM127A
5910	FAM127B|26071	26071	FAM127B
5911	FAM127C|441518	441518	FAM127C
5912	FAM128A|653784	653784	FAM128A
5913	FAM128B|80097	80097	FAM128B
5914	FAM129A|116496	116496	FAM129A
5915	FAM129B|64855	64855	FAM129B
5916	FAM129C|199786	199786	FAM129C
5917	FAM131A|131408	131408	FAM131A
5918	FAM131B|9715	9715	FAM131B
5919	FAM131C|348487	348487	FAM131C
5920	FAM132A|388581	388581	FAM132A
5921	FAM133A|286499	286499	FAM133A
5922	FAM133B|257415	257415	FAM133B
5923	FAM134A|79137	79137	FAM134A
5924	FAM134B|54463	54463	FAM134B
5925	FAM134C|162427	162427	FAM134C
5926	FAM135A|57579	57579	FAM135A
5927	FAM135B|51059	51059	FAM135B
5928	FAM136A|84908	84908	FAM136A
5929	FAM136B|387071	387071	FAM136B
5930	FAM138B|654412	654412	FAM138B
5931	FAM138D|677784	677784	FAM138D
5932	FAM138E|100124412	100124412	FAM138E
5933	FAM138F|641702	641702	FAM138F
5934	FAM13AOS|285512	285512	FAM13AOS
5935	FAM13A|10144	10144	FAM13A
5936	FAM13B|51306	51306	FAM13B
5937	FAM13C|220965	220965	FAM13C
5938	FAM149A|25854	25854	FAM149A
5939	FAM149B1|317662	317662	FAM149B1
5940	FAM150A|389658	389658	FAM150A
5941	FAM150B|285016	285016	FAM150B
5942	FAM151A|338094	338094	FAM151A
5943	FAM151B|167555	167555	FAM151B
5944	FAM153A|285596	285596	FAM153A
5945	FAM153B|202134	202134	FAM153B
5946	FAM153C|653316	653316	FAM153C
5947	FAM154A|158297	158297	FAM154A
5948	FAM154B|283726	283726	FAM154B
5949	FAM155A|728215	728215	FAM155A
5950	FAM155B|27112	27112	FAM155B
5951	FAM156A|29057	29057	FAM156A
5952	FAM157A|728262	728262	FAM157A
5953	FAM157B|100132403	100132403	FAM157B
5954	FAM158A|51016	51016	FAM158A
5955	FAM159A|348378	348378	FAM159A
5956	FAM160A1|729830	729830	FAM160A1
5957	FAM160A2|84067	84067	FAM160A2
5958	FAM160B1|57700	57700	FAM160B1
5959	FAM160B2|64760	64760	FAM160B2
5960	FAM161A|84140	84140	FAM161A
5961	FAM161B|145483	145483	FAM161B
5962	FAM162A|26355	26355	FAM162A
5963	FAM162B|221303	221303	FAM162B
5964	FAM163A|148753	148753	FAM163A
5965	FAM163B|642968	642968	FAM163B
5966	FAM164A|51101	51101	FAM164A
5967	FAM164C|79696	79696	FAM164C
5968	FAM165B|54065	54065	FAM165B
5969	FAM166A|401565	401565	FAM166A
5970	FAM166B|730112	730112	FAM166B
5971	FAM167A|83648	83648	FAM167A
5972	FAM167B|84734	84734	FAM167B
5973	FAM168A|23201	23201	FAM168A
5974	FAM168B|130074	130074	FAM168B
5975	FAM169A|26049	26049	FAM169A
5976	FAM169B|283777	283777	FAM169B
5977	FAM170A|340069	340069	FAM170A
5978	FAM170B|170370	170370	FAM170B
5979	FAM171A1|221061	221061	FAM171A1
5980	FAM171A2|284069	284069	FAM171A2
5981	FAM171B|165215	165215	FAM171B
5982	FAM172A|83989	83989	FAM172A
5983	FAM173A|65990	65990	FAM173A
5984	FAM173B|134145	134145	FAM173B
5985	FAM174A|345757	345757	FAM174A
5986	FAM174B|400451	400451	FAM174B
5987	FAM175A|84142	84142	FAM175A
5988	FAM175B|23172	23172	FAM175B
5989	FAM176A|84141	84141	FAM176A
5990	FAM176B|55194	55194	FAM176B
5991	FAM177A1|283635	283635	FAM177A1
5992	FAM177B|400823	400823	FAM177B
5993	FAM178A|55719	55719	FAM178A
5994	FAM178B|51252	51252	FAM178B
5995	FAM179A|165186	165186	FAM179A
5996	FAM179B|23116	23116	FAM179B
5997	FAM180A|389558	389558	FAM180A
5998	FAM180B|399888	399888	FAM180B
5999	FAM181A|90050	90050	FAM181A
6000	FAM181B|220382	220382	FAM181B
6001	FAM182A|284800	284800	FAM182A
6002	FAM182B|728882	728882	FAM182B
6003	FAM183A|440585	440585	FAM183A
6004	FAM183B|340286	340286	FAM183B
6005	FAM184A|79632	79632	FAM184A
6006	FAM184B|27146	27146	FAM184B
6007	FAM185A|222234	222234	FAM185A
6008	FAM186A|121006	121006	FAM186A
6009	FAM186B|84070	84070	FAM186B
6010	FAM187B|148109	148109	FAM187B
6011	FAM188A|80013	80013	FAM188A
6012	FAM188B|84182	84182	FAM188B
6013	FAM189A1|23359	23359	FAM189A1
6014	FAM189A2|9413	9413	FAM189A2
6015	FAM189B|10712	10712	FAM189B
6016	FAM18A|780776	780776	FAM18A
6017	FAM18B2|201158	201158	FAM18B2
6018	FAM18B|51030	51030	FAM18B
6019	FAM190A|401145	401145	FAM190A
6020	FAM190B|54462	54462	FAM190B
6021	FAM192A|80011	80011	FAM192A
6022	FAM193A|8603	8603	FAM193A
6023	FAM193B|54540	54540	FAM193B
6024	FAM194A|131831	131831	FAM194A
6025	FAM194B|220081	220081	FAM194B
6026	FAM195A|84331	84331	FAM195A
6027	FAM195B|348262	348262	FAM195B
6028	FAM196A|642938	642938	FAM196A
6029	FAM196B|100131897	100131897	FAM196B
6030	FAM197Y2|252946	252946	FAM197Y2
6031	FAM198A|729085	729085	FAM198A
6032	FAM198B|51313	51313	FAM198B
6033	FAM199X|139231	139231	FAM199X
6034	FAM19A1|407738	407738	FAM19A1
6035	FAM19A2|338811	338811	FAM19A2
6036	FAM19A3|284467	284467	FAM19A3
6037	FAM19A4|151647	151647	FAM19A4
6038	FAM19A5|25817	25817	FAM19A5
6039	FAM200A|221786	221786	FAM200A
6040	FAM200B|285550	285550	FAM200B
6041	FAM20A|54757	54757	FAM20A
6042	FAM20B|9917	9917	FAM20B
6043	FAM20C|56975	56975	FAM20C
6044	FAM21A|387680	387680	FAM21A
6045	FAM21B|55747	55747	FAM21B
6046	FAM21C|253725	253725	FAM21C
6047	FAM22A|728118	728118	FAM22A
6048	FAM22D|728130	728130	FAM22D
6049	FAM22F|54754	54754	FAM22F
6050	FAM22G|441457	441457	FAM22G
6051	FAM23A|653567	653567	FAM23A
6052	FAM24A|118670	118670	FAM24A
6053	FAM24B|196792	196792	FAM24B
6054	FAM25A|643161	643161	FAM25A
6055	FAM25B|100132929	100132929	FAM25B
